ref:ine;name;@type;@id;@lat;@lon
20045000201;Irun;node;27552575;43.3383176;-1.7888095
20902000101;Lasarte-Oria;node;27552577;43.2684642;-2.0193784
20008000101;Amezketa;node;27552578;43.0489646;-2.0878104
20058000101;Olaberria;node;27552579;43.0269276;-2.2036619
20904000101;Baliarrain;node;27552580;43.0694191;-2.1283913
20033000101;Elgeta;node;27552581;43.1367656;-2.4874683
20006000101;Alkiza;node;27552582;43.1725845;-2.1089901
20073000501;Usurbil;node;27552583;43.2703088;-2.0502559
20048000101;Larraul;node;27552584;43.1879341;-2.1023955
20021000101;Belauntza;node;27552585;43.1350267;-2.0503391
20039000301;Getaria;node;27552586;43.3044559;-2.2037374
20004000101;Albiztur;node;27552587;43.1294954;-2.1374208
20066000501;Errezil;node;27552589;43.1647321;-2.1743978
20050000301;Leaburu;node;27552590;43.1246812;-2.0523170
20010000101;Anoeta;node;27552592;43.1620711;-2.0712454
20076000101;Ordizia;node;27552593;43.0539687;-2.1795046
20072000301;Urnieta;node;27552595;43.2468700;-1.9917045
20038000301;Gabiria;node;27552596;43.0502538;-2.2791464
20036000401;Hondarribia;node;27552597;43.3624468;-1.7914309
20065000101;Soraluze-Placencia de las Armas;node;27552598;43.1742777;-2.4128759
20042000101;Ibarra;node;27552600;43.1316471;-2.0622574
20022000101;Berastegi;node;27552601;43.1241497;-1.9791586
20051000201;Legazpi;node;27552602;43.0512350;-2.3344403
20009000101;Andoain;node;27552603;43.2183411;-2.0199432
20005000101;Alegia;node;27552604;43.1004352;-2.0983582
20060000100;Orexa;node;27552605;43.0942358;-2.0113193
20001000101;Abaltzisketa;node;27552606;43.0478420;-2.1052186
04049000101;Garrucha;node;27645188;37.1853447;-1.8204711
04064000501;Mojácar;node;27645437;37.1402087;-1.8510071
04032000401;Carboneras;node;27645528;36.9968699;-1.8946552
04053100201;Huércal-Overa;node;27645839;37.3895979;-1.9450652
04069000501;Olula del Río;node;27715675;37.3552688;-2.2965931
04044000501;Fines;node;27715736;37.3600020;-2.2632918
04092000701;Tíjola;node;27715948;37.3449275;-2.4391712
04076000201;Purchena;node;27715974;37.3476473;-2.3613270
31228010101;Campanas;node;27799677;42.6895187;-1.6502879
31088000501;Noáin;node;28075930;42.7627828;-1.6341152
31201000201;Pamplona / Iruña;node;28849760;42.8181992;-1.6440089
33066220601;La Pola Siero;node;28978810;43.3914146;-5.6608367
38038002501;Santa Cruz de Tenerife;node;29015863;28.4671780;-16.2507843
38037002301;Santa Cruz de la Palma;node;29016705;28.6818901;-17.7663354
38024000501;Los Llanos de Aridane;node;29017252;28.6592222;-17.9151945
38014000501;Las Indias;node;29017257;28.5029857;-17.8614134
35014000301;El Cotillo;node;29021496;28.6827004;-14.0101076
35015000401;Morro Jable;node;29022126;28.0501834;-14.3522311
35007000101;Betancuria;node;29022127;28.4249637;-14.0573104
47066000101;Fuensaldaña;node;29040744;41.7066036;-4.7637721
47217000201;Villanubla;node;29040943;41.6987674;-4.8419751
38026001901;La Orotava;node;29187020;28.3898829;-16.5235692
38028000407;Puerto de la Cruz;node;29187022;28.4159024;-16.5532956
35017000901;Puerto del Rosario;node;29193990;28.4993424;-13.8599051
38034000101;Las Aguas;node;29198303;28.3964585;-16.6413132
38018000301;La Guancha;node;29199913;28.3738326;-16.6515762
38038002302;San Andrés;node;29203063;28.5059360;-16.1941213
40194000601;Segovia;node;29215168;40.9481192;-4.1172101
47186000501;Valladolid;node;29272534;41.6521328;-4.7285620
35016002401;Las Palmas de Gran Canaria;node;29333339;28.1288694;-15.4349015
07011001201;Santa Ponça;node;29402598;39.5148159;2.4819598
33066180301;Lugones / Llugones;node;29529103;43.4027677;-5.8104790
33076410101;Villaviciosa;node;29539081;43.4813318;-5.4334618
29045000101;Cómpeta;node;29697577;36.8328360;-3.9747057
29034000101;Canillas de Albaida;node;29697579;36.8461773;-3.9878112
29016000101;Árchez;node;29697580;36.8390459;-3.9907148
29005000101;Algarrobo;node;29697582;36.7732439;-4.0399307
33056070101;Ribadesella / Ribeseya;node;29847633;43.4617129;-5.0587479
33019020101;Colunga;node;29948100;43.4851194;-5.2706728
33019050101;Llastres;node;29948101;43.5141935;-5.2712551
33013010101;Prado;node;29973683;43.4626201;-5.1870052
05016000101;Arévalo;node;29989906;41.0632758;-4.7198921
05001000101;Adanero;node;29989907;40.9438737;-4.6038249
02003000201;Albacete;node;30044584;38.9950921;-1.8559154
33036110401;Llanes;node;30157832;43.4211205;-4.7530835
33049150400;L'Infiestu;node;30308146;43.3479103;-5.3639491
33076121001;Venta les Ranes;node;30395127;43.5140116;-5.5082581
33014030101;Candás;node;30413644;43.5900556;-5.7641846
07042000401;Pollença;node;30417672;39.8792073;3.0157098
07003000101;Alcúdia;node;30417673;39.8532473;3.1212505
23043000101;Cañada Morales;node;30436989;38.2114535;-2.7563451
33055010201;Bustio;node;30440814;43.3755098;-4.5192832
33045010100;Arriondas / Les Arriondes;node;30788996;43.3892173;-5.1848708
33040031001;Nava;node;30789420;43.3582216;-5.5056766
33037050101;Mieres del Camín;node;30789582;43.2488161;-5.7722468
33033161601;Pola de Lena / La Pola;node;30826505;43.1615692;-5.8281354
33033020101;Campumanes;node;30826550;43.1054181;-5.8185558
32054000101;Ourense;node;30843230;42.3436415;-7.8674242
17181000600;Santa Cristina d'Aro;node;30894542;41.8139790;2.9974879
17089000201;Llagostera;node;30894544;41.8289064;2.8920386
17079000501;Girona;node;30894545;41.9793006;2.8199439
17063000101;Espinelves;node;31021892;41.8689558;2.4173566
48034000101;Ermua;node;31026289;43.1862849;-2.5027614
31042000101;Azagra;node;31214842;42.3114030;-1.8946708
47086000101;Medina de Rioseco;node;31266166;41.8836792;-5.0433596
33065031001;Vega;node;31278817;43.4106542;-5.5582804
03133000206;Torrevieja;node;31335145;37.9775416;-0.6828446
24188000201;Valencia de Don Juan;node;31360042;42.2936047;-5.5188832
24212000501;Villamañán;node;31360044;42.3221133;-5.5833776
24133000201;Rioseco de Tapia;node;31431932;42.7294093;-5.7913406
24089000201;León;node;31432063;42.5989995;-5.5682413
49021000101;Benavente;node;31480101;42.0032862;-5.6738595
33049230601;Villamayor;node;31514799;43.3592505;-5.3062529
33060010401;Blimea;node;31514807;43.2745191;-5.5904148
33060044100;Sotrondio;node;31514808;43.2749805;-5.6056736
